Freq (Hz),Re,Im
4,-3.81586E-10,-3.81154E-10
4.035,-3.98161E-10,-3.72013E-10
4.07,-4.1459E-10,-3.62224E-10
4.105,-4.3085E-10,-3.51785E-10
4.14,-4.46916E-10,-3.40697E-10
4.175,-4.62765E-10,-3.28958E-10
4.21,-4.78374E-10,-3.16571E-10
4.245,-4.93717E-10,-3.03536E-10
4.28,-5.08771E-10,-2.89857E-10
4.315,-5.23511E-10,-2.75537E-10
4.35,-5.37911E-10,-2.6058E-10
4.385,-5.51949E-10,-2.44992E-10
4.42,-5.65597E-10,-2.28778E-10
4.455,-5.78833E-10,-2.11946E-10
4.49,-5.9163E-10,-1.94503E-10
4.525,-6.03965E-10,-1.76458E-10
4.56,-6.15811E-10,-1.57822E-10
4.595,-6.27145E-10,-1.38604E-10
4.63,-6.37942E-10,-1.18816E-10
4.665,-6.48177E-10,-9.84714E-11
4.7,-6.57827E-10,-7.75828E-11
4.735,-6.66866E-10,-5.6165E-11
4.77,-6.75272E-10,-3.42333E-11
4.805,-6.8302E-10,-1.18041E-11
4.84,-6.90088E-10,1.11054E-11
4.875,-6.96453E-10,3.44769E-11
4.91,-7.02092E-10,5.82912E-11
4.945,-7.06984E-10,8.25281E-11
4.98,-7.11106E-10,1.07167E-10
5.015,-7.14437E-10,1.32185E-10
5.05,-7.16958E-10,1.57559E-10
5.085,-7.22334E-10,1.84272E-10
5.12,-7.39375E-10,2.15432E-10
5.155,-7.55885E-10,2.48197E-10
5.19,-7.71788E-10,2.82602E-10
5.225,-7.87009E-10,3.18679E-10
5.26,-8.01467E-10,3.56459E-10
5.295,-8.15078E-10,3.95969E-10
5.33,-8.27754E-10,4.37237E-10
5.365,-8.39404E-10,4.80287E-10
5.4,-8.49932E-10,5.25142E-10
5.435,-8.59238E-10,5.71821E-10
5.47,-8.6722E-10,6.2034E-10
5.505,-8.73771E-10,6.70713E-10
5.54,-8.78778E-10,7.22951E-10
5.575,-8.82128E-10,7.77061E-10
5.61,-8.83701E-10,8.33044E-10
5.645,-8.83374E-10,8.90901E-10
5.68,-8.8102E-10,9.50626E-10
5.715,-8.76508E-10,1.01221E-09
5.75,-8.69703E-10,1.07564E-09
5.785,-8.60467E-10,1.14089E-09
5.82,-8.48657E-10,1.20793E-09
5.855,-8.34127E-10,1.27674E-09
5.89,-8.16726E-10,1.34729E-09
5.925,-7.96302E-10,1.41951E-09
5.96,-7.72697E-10,1.49338E-09
5.995,-7.45751E-10,1.56881E-09
6.03,-7.15301E-10,1.64576E-09
6.065,-6.81181E-10,1.72415E-09
6.1,-6.4322E-10,1.80389E-09
6.135,-6.01246E-10,1.88491E-09
6.17,-5.48694E-10,1.99053E-09
6.205,-4.80307E-10,2.12696E-09
6.24,-4.01414E-10,2.26749E-09
6.275,-3.11235E-10,2.41183E-09
6.31,-2.08963E-10,2.55963E-09
6.345,-9.37615E-11,2.71049E-09
6.38,3.52294E-11,2.86393E-09
6.415,1.78895E-10,3.0194E-09
6.45,3.38141E-10,3.1763E-09
6.485,5.13894E-10,3.33393E-09
6.52,7.07097E-10,3.49152E-09
6.555,9.18704E-10,3.6482E-09
6.59,1.14968E-09,3.80301E-09
6.625,1.401E-09,3.95488E-09
6.66,1.67363E-09,4.10266E-09
6.695,1.96854E-09,4.24505E-09
6.73,2.28669E-09,4.38067E-09
6.765,2.62901E-09,4.50799E-09
6.8,2.99643E-09,4.62536E-09
6.835,3.38982E-09,4.73098E-09
6.87,3.81004E-09,4.82294E-09
6.905,4.25788E-09,4.89915E-09
6.94,4.73407E-09,4.95737E-09
6.975,5.23929E-09,4.99523E-09
7.01,5.77411E-09,5.01017E-09
7.045,6.33904E-09,4.99946E-09
7.08,6.93444E-09,4.9602E-09
7.115,7.56059E-09,4.88932E-09
7.15,8.2176E-09,4.78356E-09
7.185,8.90545E-09,4.63948E-09
7.22,9.62393E-09,4.45346E-09
7.255,1.04097E-08,4.3058E-09
7.29,1.12564E-08,4.15391E-09
7.325,1.21513E-08,3.95738E-09
7.36,1.30956E-08,3.71136E-09
7.395,1.40904E-08,3.41062E-09
7.43,1.51369E-08,3.04957E-09
7.465,1.62358E-08,2.62221E-09
7.5,1.73877E-08,2.12211E-09
7.535,1.85931E-08,1.54241E-09
7.57,1.98521E-08,8.75794E-10
7.605,2.11646E-08,1.14457E-10
7.64,2.25302E-08,-7.4989E-10
7.675,2.39479E-08,-1.72606E-09
7.71,2.54166E-08,-2.82338E-09
7.745,2.69346E-08,-4.05175E-09
7.78,2.84995E-08,-5.42163E-09
7.815,3.01087E-08,-6.94403E-09
7.85,3.17586E-08,-8.63061E-09
7.885,3.34451E-08,-1.04936E-08
7.92,3.51634E-08,-1.25458E-08
7.955,3.69076E-08,-1.48007E-08
7.99,3.86711E-08,-1.72725E-08
8.025,4.04461E-08,-1.99758E-08
8.06,4.2224E-08,-2.29261E-08
8.095,4.39946E-08,-2.61393E-08
8.13,4.57468E-08,-2.9632E-08
8.165,4.74678E-08,-3.34214E-08
8.2,4.91433E-08,-3.75254E-08
8.235,5.07576E-08,-4.19623E-08
8.27,5.22929E-08,-4.67509E-08
8.305,5.37296E-08,-5.19107E-08
8.34,5.30336E-08,-5.62079E-08
8.375,5.19437E-08,-6.05001E-08
8.41,5.06126E-08,-6.48714E-08
8.445,4.90292E-08,-6.93125E-08
8.48,4.71823E-08,-7.38135E-08
8.515,4.50609E-08,-7.83634E-08
8.55,4.26543E-08,-8.29505E-08
8.585,3.99519E-08,-8.7562E-08
8.62,3.69433E-08,-9.21845E-08
8.655,3.36187E-08,-9.68034E-08
8.69,2.99685E-08,-1.01403E-07
8.725,2.59837E-08,-1.05968E-07
8.76,2.16557E-08,-1.1048E-07
8.795,1.69764E-08,-1.14922E-07
8.83,1.19386E-08,-1.19273E-07
8.865,6.53542E-09,-1.23515E-07
8.9,7.61137E-10,-1.27625E-07
8.935,-5.38937E-09,-1.31582E-07
8.97,-1.19202E-08,-1.35364E-07
9.005,-1.88347E-08,-1.38945E-07
9.04,-2.61347E-08,-1.42302E-07
9.075,-3.38215E-08,-1.45409E-07
9.11,-4.18946E-08,-1.4824E-07
9.145,-5.03527E-08,-1.50767E-07
9.18,-5.91929E-08,-1.52963E-07
9.215,-6.84108E-08,-1.54798E-07
9.25,-7.80007E-08,-1.56244E-07
9.285,-8.79551E-08,-1.5727E-07
9.32,-9.82649E-08,-1.57846E-07
9.355,-1.08919E-07,-1.57942E-07
9.39,-1.19716E-07,-1.56964E-07
9.425,-1.29539E-07,-1.5234E-07
9.46,-1.39228E-07,-1.47135E-07
9.495,-1.48749E-07,-1.41348E-07
9.53,-1.58068E-07,-1.34983E-07
9.565,-1.67153E-07,-1.28043E-07
9.6,-1.7597E-07,-1.20535E-07
9.635,-1.84484E-07,-1.12465E-07
9.67,-1.92664E-07,-1.03845E-07
9.705,-2.00474E-07,-9.46845E-08
9.74,-2.07882E-07,-8.49986E-08
9.775,-2.14855E-07,-7.48025E-08
9.81,-2.2136E-07,-6.41137E-08
9.845,-2.27365E-07,-5.29515E-08
9.88,-2.3284E-07,-4.13374E-08
9.915,-2.37753E-07,-2.92947E-08
9.95,-2.42076E-07,-1.68487E-08
9.985,-2.45779E-07,-4.02642E-09
10.02,-2.48836E-07,9.14317E-09
10.055,-2.51219E-07,2.26293E-08
10.09,-2.52906E-07,3.63994E-08
10.125,-2.53871E-07,5.04194E-08
10.16,-2.54093E-07,6.46532E-08
10.195,-2.53553E-07,7.90635E-08
10.23,-2.52231E-07,9.36112E-08
10.265,-2.50112E-07,1.08256E-07
10.3,-2.47181E-07,1.22956E-07
10.335,-2.43426E-07,1.37668E-07
10.37,-2.38836E-07,1.52349E-07
10.405,-2.33404E-07,1.66952E-07
10.44,-2.27123E-07,1.81432E-07
10.475,-2.1839E-07,1.95088E-07
10.51,-2.06349E-07,2.07148E-07
10.545,-1.93647E-07,2.1847E-07
10.58,-1.80327E-07,2.29017E-07
10.615,-1.66438E-07,2.38757E-07
10.65,-1.52027E-07,2.47657E-07
10.685,-1.37146E-07,2.55692E-07
10.72,-1.21846E-07,2.62836E-07
10.755,-1.0618E-07,2.69068E-07
10.79,-9.02031E-08,2.7437E-07
10.825,-7.39693E-08,2.78726E-07
10.86,-5.75348E-08,2.82124E-07
10.895,-4.09558E-08,2.84557E-07
10.93,-2.4289E-08,2.86019E-07
10.965,-7.59098E-09,2.86507E-07
11,9.0815E-09,2.86024E-07
11.035,2.56721E-08,2.84573E-07
11.07,4.21249E-08,2.82163E-07
11.105,5.83845E-08,2.78805E-07
11.14,7.43965E-08,2.74512E-07
11.175,9.01075E-08,2.69304E-07
11.21,1.05465E-07,2.63199E-07
11.245,1.20418E-07,2.56221E-07
11.28,1.34918E-07,2.48397E-07
11.315,1.48916E-07,2.39756E-07
11.35,1.62367E-07,2.30329E-07
11.385,1.75227E-07,2.20152E-07
11.42,1.87454E-07,2.09259E-07
11.455,1.99008E-07,1.97692E-07
11.49,2.09853E-07,1.8549E-07
11.525,2.19954E-07,1.72698E-07
11.56,2.32452E-07,1.64133E-07
11.595,2.46895E-07,1.5777E-07
11.63,2.61448E-07,1.5054E-07
11.665,2.76073E-07,1.4241E-07
11.7,2.90729E-07,1.33354E-07
11.735,3.05373E-07,1.23342E-07
11.77,3.1996E-07,1.12348E-07
11.805,3.34441E-07,1.00346E-07
11.84,3.48764E-07,8.73129E-08
11.875,3.62878E-07,7.32267E-08
11.91,3.76725E-07,5.80672E-08
11.945,3.90246E-07,4.18164E-08
11.98,4.03382E-07,2.44585E-08
12.015,4.16067E-07,5.98035E-09
12.05,4.28236E-07,-1.36287E-08
12.085,4.39821E-07,-3.43764E-08
12.12,4.5075E-07,-5.62675E-08
12.155,4.60951E-07,-7.93034E-08
12.19,4.70348E-07,-1.03482E-07
12.225,4.78864E-07,-1.28799E-07
12.26,4.86419E-07,-1.55243E-07
12.295,4.92934E-07,-1.82802E-07
12.33,4.98324E-07,-2.11458E-07
12.365,5.02506E-07,-2.41189E-07
12.4,5.05394E-07,-2.71967E-07
12.435,5.06901E-07,-3.03763E-07
12.47,5.06939E-07,-3.36538E-07
12.505,5.05421E-07,-3.70251E-07
12.54,5.02257E-07,-4.04855E-07
12.575,4.97357E-07,-4.40297E-07
12.61,4.90632E-07,-4.76518E-07
12.645,4.74543E-07,-5.01129E-07
12.68,4.56021E-07,-5.22976E-07
12.715,4.36515E-07,-5.44159E-07
12.75,4.16046E-07,-5.64632E-07
12.785,3.94639E-07,-5.84355E-07
12.82,3.72322E-07,-6.03283E-07
12.855,3.49123E-07,-6.21377E-07
12.89,3.25072E-07,-6.38596E-07
12.925,3.00202E-07,-6.549E-07
12.96,2.74547E-07,-6.70253E-07
12.995,2.48142E-07,-6.84616E-07
13.03,2.21025E-07,-6.97956E-07
13.065,1.93235E-07,-7.10238E-07
13.1,1.64812E-07,-7.21428E-07
13.135,1.35799E-07,-7.31497E-07
13.17,1.06238E-07,-7.40415E-07
13.205,7.61761E-08,-7.48154E-07
13.24,4.56584E-08,-7.54688E-07
13.275,1.47329E-08,-7.59992E-07
13.31,-1.65516E-08,-7.64045E-07
13.345,-4.81451E-08,-7.66825E-07
13.38,-7.99965E-08,-7.68315E-07
13.415,-1.12054E-07,-7.68498E-07
13.45,-1.44264E-07,-7.67359E-07
13.485,-1.76573E-07,-7.64886E-07
13.52,-2.08927E-07,-7.61069E-07
13.555,-2.41269E-07,-7.559E-07
13.59,-2.73546E-07,-7.49373E-07
13.625,-3.05699E-07,-7.41486E-07
13.66,-3.37672E-07,-7.32236E-07
13.695,-3.68308E-07,-7.19641E-07
13.73,-3.84539E-07,-6.82861E-07
13.765,-3.98841E-07,-6.46608E-07
13.8,-4.11295E-07,-6.1094E-07
13.835,-4.21981E-07,-5.75909E-07
13.87,-4.30981E-07,-5.41564E-07
13.905,-4.38373E-07,-5.07949E-07
13.94,-4.44235E-07,-4.75102E-07
13.975,-4.48646E-07,-4.43059E-07
14.01,-4.51681E-07,-4.1185E-07
14.045,-4.53417E-07,-3.81502E-07
14.08,-4.53927E-07,-3.52039E-07
14.115,-4.53284E-07,-3.2348E-07
14.15,-4.51558E-07,-2.95842E-07
14.185,-4.4882E-07,-2.69136E-07
14.22,-4.45137E-07,-2.43373E-07
14.255,-4.40574E-07,-2.18561E-07
14.29,-4.35197E-07,-1.94702E-07
14.325,-4.29068E-07,-1.71799E-07
14.36,-4.22247E-07,-1.49851E-07
14.395,-4.14792E-07,-1.28854E-07
14.43,-4.06761E-07,-1.08803E-07
14.465,-3.98208E-07,-8.96906E-08
14.5,-3.89185E-07,-7.15078E-08
14.535,-3.79743E-07,-5.42434E-08
14.57,-3.6993E-07,-3.78847E-08
14.605,-3.59794E-07,-2.24176E-08
14.64,-3.49379E-07,-7.82678E-09
14.675,-3.38727E-07,5.90457E-09
14.71,-3.27879E-07,1.87942E-08
14.745,-3.16873E-07,3.0861E-08
14.78,-3.07682E-07,4.26477E-08
14.815,-3.02493E-07,5.51127E-08
14.85,-2.96837E-07,6.72219E-08
14.885,-2.90735E-07,7.89597E-08
14.92,-2.84206E-07,9.03114E-08
14.955,-2.77272E-07,1.01263E-07
14.99,-2.69955E-07,1.11803E-07
15.025,-2.62275E-07,1.21919E-07
15.06,-2.54254E-07,1.316E-07
15.095,-2.45915E-07,1.40837E-07
15.13,-2.3728E-07,1.49621E-07
15.165,-2.2837E-07,1.57945E-07
15.2,-2.19209E-07,1.65803E-07
15.235,-2.09819E-07,1.73189E-07
15.27,-2.00222E-07,1.80099E-07
15.305,-1.9044E-07,1.86529E-07
15.34,-1.80496E-07,1.92477E-07
15.375,-1.70412E-07,1.97941E-07
15.41,-1.60209E-07,2.02921E-07
15.445,-1.4991E-07,2.07417E-07
15.48,-1.39535E-07,2.1143E-07
15.515,-1.29106E-07,2.14963E-07
15.55,-1.18643E-07,2.18018E-07
15.585,-1.08167E-07,2.206E-07
15.62,-9.7699E-08,2.22713E-07
15.655,-8.72573E-08,2.24362E-07
15.69,-7.68615E-08,2.25554E-07
15.725,-6.65303E-08,2.26296E-07
15.76,-5.62819E-08,2.26596E-07
15.795,-4.61341E-08,2.26461E-07
15.83,-3.61039E-08,2.25901E-07
15.865,-2.66418E-08,2.25373E-07
15.9,-1.76388E-08,2.24863E-07
15.935,-8.71775E-09,2.24004E-07
15.97,1.08184E-10,2.22802E-07
16.005,8.82625E-09,2.21262E-07
16.04,1.7424E-08,2.19392E-07
16.075,2.58893E-08,2.17199E-07
16.11,3.42105E-08,2.14689E-07
16.145,4.23761E-08,2.11871E-07
16.18,5.03752E-08,2.08753E-07
16.215,5.81971E-08,2.05343E-07
16.25,6.58317E-08,2.01651E-07
16.285,7.32692E-08,1.97685E-07
16.32,8.05003E-08,1.93456E-07
16.355,8.7516E-08,1.88972E-07
16.39,9.4308E-08,1.84245E-07
16.425,1.00868E-07,1.79285E-07
16.46,1.07189E-07,1.74103E-07
16.495,1.13264E-07,1.68709E-07
16.53,1.19085E-07,1.63114E-07
16.565,1.24648E-07,1.5733E-07
16.6,1.29946E-07,1.51368E-07
16.635,1.34974E-07,1.4524E-07
16.67,1.39727E-07,1.38957E-07
16.705,1.44202E-07,1.32532E-07
16.74,1.48395E-07,1.25976E-07
16.775,1.52302E-07,1.193E-07
16.81,1.55921E-07,1.12518E-07
16.845,1.5925E-07,1.05641E-07
16.88,1.62287E-07,9.86816E-08
16.915,1.6503E-07,9.1651E-08
16.95,1.67229E-07,8.59345E-08
16.985,1.6917E-07,8.05861E-08
17.02,1.70943E-07,7.51998E-08
17.055,1.72548E-07,6.97808E-08
17.09,1.73984E-07,6.43344E-08
17.125,1.75251E-07,5.88656E-08
17.16,1.76349E-07,5.33797E-08
17.195,1.77279E-07,4.78817E-08
17.23,1.78039E-07,4.23769E-08
17.265,1.78631E-07,3.68702E-08
17.3,1.79056E-07,3.13668E-08
17.335,1.79314E-07,2.58716E-08
17.37,1.79406E-07,2.03897E-08
17.405,1.79333E-07,1.49259E-08
17.44,1.79097E-07,9.48519E-09
17.475,1.78698E-07,4.07235E-09
17.51,1.78138E-07,-1.30784E-09
