start_node_id,end_node_id,volume,link_id
115,167,10,337
167,172,10,489
172,159,40,503
159,158,40,466
158,157,50,462
157,156,70,458
156,155,70,454
155,154,70,451
154,368,70,447
368,244,70,1045
244,411,70,697
411,362,70,1162
362,168,70,1030
168,365,70,492
365,372,70,1035
372,145,70,1055
145,143,70,423
143,220,70,416
220,142,70,627
142,427,70,1214
397,49,10,1124
49,4,10,147
4,2,10,11
2,302,10,7
302,48,20,872
48,46,20,144
46,407,20,139
407,408,20,1151
408,157,20,1153
0,165,10,0
165,281,10,483
281,391,10,811
391,208,10,1107
208,280,10,598
280,414,10,806
414,75,10,1169
75,255,10,223
255,21,10,728
21,337,10,63
337,44,10,967
44,174,10,131
174,182,10,510
182,373,10,526
373,222,10,1059
222,79,10,633
79,427,10,1209
84,271,10,250
271,327,10,777
327,328,10,939
328,308,10,944
308,153,20,890
153,304,20,445
304,303,20,877
303,301,20,875
301,300,20,868
300,299,20,865
299,90,20,859
90,162,20,266
162,161,30,477
161,160,30,474
160,172,30,470
149,96,10,432
96,94,10,283
94,311,10,280
311,310,10,897
310,308,10,895
3,147,10,9
147,394,10,427
394,396,10,1115
396,400,10,1122
400,403,10,1133
403,404,10,1140
404,170,10,1143
170,158,10,497
59,199,10,176
199,202,10,574
202,236,10,582
236,293,10,673
293,294,10,844
294,5,10,846
5,6,10,13
6,162,10,16
258,261,10,737
261,34,20,747
34,256,20,103
256,127,20,732
127,263,20,371
263,128,20,753
128,129,20,373
129,64,20,377
64,130,20,188
130,62,20,380
62,254,20,184
254,319,20,723
319,243,20,925
243,309,20,694
309,307,20,891
307,253,20,886
253,289,20,721
289,417,20,834
417,77,20,1183
77,278,20,229
278,351,20,799
351,427,20,1227
86,302,10,255
