link_id,start_node_id,end_node_id,type,length,maxmph,lanes,capacity,fft,start_osmid,end_osmid,geometry
0,222,210,secondary,127.9233672550045,25.0,2,3800,11.44627588589639,53096087_m,53091866_m,"LINESTRING (-122.2690042 37.87749114999998, -122.2689937 37.87689180000002, -122.2689889 37.8768471, -122.2689683 37.87666230000001, -122.26890425 37.87660385000001)"
1,177,222,secondary,135.47722257457653,25.0,2,3800,12.12217673063893,53096090_m,53096087_m,"LINESTRING (-122.269111 37.87842139999998, -122.2691603 37.87834949999998, -122.269103 37.87784179999999, -122.2690662 37.8775529, -122.2690042 37.87749114999998)"
2,172,236,secondary,134.05320875587222,25.0,2,3800,11.994759391774432,53055193_m,239616956_m,"LINESTRING (-122.26859415 37.87387224999998, -122.268548 37.8739768, -122.2686368 37.8747376, -122.2686989 37.87479544999998)"
3,229,169,secondary,311.4330847339996,25.0,2,3800,27.866284982594923,56006420_m,239669505_m,"LINESTRING (-122.2724628088398 37.89020069691497, -122.2718247 37.88988310000001, -122.2715891 37.8897833, -122.2715117 37.8897362, -122.2714697 37.88969629999998, -122.2714331 37.88964909999999, -122.2714148 37.88960429999999, -122.2714144 37.8895504, -122.2714297 37.889515, -122.2714601 37.8894736, -122.2714902 37.88944200000002, -122.2715405 37.8894095, -122.2717133 37.8893313, -122.272001 37.88919909999999, -122.2720727 37.88916619999998, -122.272362415405 37.88877316713886)"
4,169,229,secondary,311.4330847339996,25.0,2,3800,27.866284982594923,239669505_m,56006420_m,"LINESTRING (-122.272362415405 37.88877316713886, -122.2720727 37.88916619999998, -122.272001 37.88919909999999, -122.2717133 37.8893313, -122.2715405 37.8894095, -122.2714902 37.88944200000002, -122.2714601 37.8894736, -122.2714297 37.889515, -122.2714144 37.8895504, -122.2714148 37.88960429999999, -122.2714331 37.88964909999999, -122.2714697 37.88969629999998, -122.2715117 37.8897362, -122.2715891 37.8897833, -122.2718247 37.88988310000001, -122.2724628088398 37.89020069691497)"
5,210,222,secondary,127.8113749369305,25.0,2,3800,11.436255082056695,53091866_m,53096087_m,"LINESTRING (-122.26890425 37.87660385000001, -122.2688564 37.8766803, -122.2688963 37.8770322, -122.2689143 37.8771834, -122.2690042 37.87749114999998)"
6,170,205,secondary,342.4179070882874,25.0,2,3800,30.638732523282947,239616946_m,53059845_m,"LINESTRING (-122.2699804445261 37.88147521017651, -122.2703963 37.88199410000001, -122.2704083 37.88200259999999, -122.2705307 37.88210180000001, -122.2706041 37.8821761, -122.2706332 37.88220560000001, -122.2707079 37.88229490000001, -122.2707642 37.88238419999999, -122.2708125 37.88248639999998, -122.2708327 37.8826088, -122.2708604 37.88285429999999, -122.2709432 37.88358890000001, -122.2709469 37.8836218, -122.2710115 37.88367645)"
7,173,229,secondary,428.28154929576067,25.0,2,3800,38.321605155266354,53056337_m,56006420_m,"LINESTRING (-122.2757939767338 37.88873362948144, -122.2746883 37.88930129999999, -122.27467 37.8893066, -122.2732488 37.8897208, -122.2724628088398 37.89020069691497)"
8,168,205,secondary,297.1324629266585,25.0,2,3800,26.58669966476638,239669144_m,53059845_m,"LINESTRING (-122.2714082305397 37.88574314901354, -122.2712991 37.88541159999998, -122.2712101 37.8846722, -122.2711376 37.88420469999999, -122.2710776 37.8837355, -122.2710115 37.88367645)"
9,236,172,secondary,133.95628896260723,25.0,2,3800,11.986087241280586,239616956_m,53055193_m,"LINESTRING (-122.2686989 37.87479544999998, -122.2687463 37.8747245, -122.2687303 37.87457969999998, -122.2687005 37.87431119999999, -122.2686776 37.8741172, -122.2686614 37.8739624, -122.26859415 37.87387224999998)"
10,170,177,secondary,446.4406530478087,25.0,2,3800,39.94643817715062,239616946_m,53096090_m,"LINESTRING (-122.2699804445261 37.88147521017651, -122.2693657 37.88015839999998, -122.26929 37.8795138, -122.2692758 37.8793824, -122.2692614 37.87924109999999, -122.2692235 37.87890799999999, -122.2691869 37.8785771, -122.2691758 37.8784834, -122.269111 37.87842139999998)"
11,205,168,secondary,300.0042772047241,25.0,2,3800,26.843662714013423,53059845_m,239669144_m,"LINESTRING (-122.2710115 37.88367645, -122.2709618 37.88375129999999, -122.2710066 37.88413399999998, -122.2710159 37.8842049, -122.2710705 37.88450240000002, -122.2711133 37.8847417, -122.2711559 37.8850832, -122.2712012 37.88542639999999, -122.2714082305397 37.88574314901354)"
12,202,236,secondary,132.17238176171512,25.0,2,3800,11.826467506322041,53072264_m,239616956_m,"LINESTRING (-122.26880195 37.87570334999999, -122.2688487 37.8756302, -122.2688156 37.875329, -122.268761 37.87485560000001, -122.2686989 37.87479544999998)"
13,205,170,secondary,350.22666821698897,25.0,2,3800,31.337441728052454,53059845_m,239616946_m,"LINESTRING (-122.2710115 37.88367645, -122.2710623 37.88360740000001, -122.2710402 37.88340749999998, -122.2709844 37.88290169999998, -122.2709493 37.88258559999999, -122.2709303 37.8824476, -122.2708922 37.88235339999999, -122.2708642 37.88230209999999, -122.2708392 37.88225609999999, -122.2699804445261 37.88147521017651)"
14,202,210,secondary,129.9420782268816,25.0,2,3800,11.626905298753622,53072264_m,53091866_m,"LINESTRING (-122.26880195 37.87570334999999, -122.2688205 37.87637289999999, -122.2688365 37.87651379999999, -122.2688407 37.87655099999999, -122.26890425 37.87660385000001)"
15,169,168,secondary,455.06693525913505,25.0,2,3800,40.71829720634279,239669505_m,239669144_m,"LINESTRING (-122.272362415405 37.88877316713886, -122.2723279 37.88715930000001, -122.2722903 37.8869626, -122.2722604 37.88687050000001, -122.2722182 37.8867784, -122.2721115 37.88660459999999, -122.2720085 37.88647229999999, -122.2719144 37.88637019999999, -122.2718264 37.8862921, -122.2718002 37.88626880000001, -122.2714082305397 37.88574314901354)"
16,236,202,secondary,132.16256216640494,25.0,2,3800,11.825588872500715,239616956_m,53072264_m,"LINESTRING (-122.2686989 37.87479544999998, -122.2686519 37.87486859999998, -122.268696 37.87525629999999, -122.2687399 37.87564249999999, -122.26880195 37.87570334999999)"
17,168,169,secondary,455.06693525913505,25.0,2,3800,40.71829720634279,239669144_m,239669505_m,"LINESTRING (-122.2714082305397 37.88574314901354, -122.2718002 37.88626880000001, -122.2718264 37.8862921, -122.2719144 37.88637019999999, -122.2720085 37.88647229999999, -122.2721115 37.88660459999999, -122.2722182 37.8867784, -122.2722604 37.88687050000001, -122.2722903 37.8869626, -122.2723279 37.88715930000001, -122.272362415405 37.88877316713886)"
18,229,173,secondary,428.28154929576067,25.0,2,3800,38.321605155266354,56006420_m,53056337_m,"LINESTRING (-122.2724628088398 37.89020069691497, -122.2732488 37.8897208, -122.27467 37.8893066, -122.2746883 37.88930129999999, -122.2757939767338 37.88873362948144)"
19,222,177,secondary,135.5367118599699,25.0,2,3800,12.127499689121644,53096087_m,53096090_m,"LINESTRING (-122.2690042 37.87749114999998, -122.2689583 37.8775544, -122.2689774 37.87774329999998, -122.2689923 37.87788069999998, -122.2689983 37.8779303, -122.269038 37.87829130000001, -122.2690415 37.87832039999999, -122.269046 37.878358, -122.269111 37.87842139999998)"
20,210,202,secondary,129.85590439394164,25.0,2,3800,11.619194670999352,53091866_m,53072264_m,"LINESTRING (-122.26890425 37.87660385000001, -122.268954 37.87654119999998, -122.2689325 37.87635559999998, -122.2689263 37.87630240000001, -122.26880195 37.87570334999999)"
21,177,170,secondary,450.1845552325814,25.0,2,3800,40.281433559278824,53096090_m,239616946_m,"LINESTRING (-122.269111 37.87842139999998, -122.2690618 37.87849439999999, -122.2691624 37.8793916, -122.2692453 37.88013329999998, -122.2692497 37.8801722, -122.2699804445261 37.88147521017651)"
22,81,186,tertiary,245.02490477302356,25.0,2,3800,21.924240419318696,53019170,53084394_m,"LINESTRING (-122.2737553 37.88662609999999, -122.2739259 37.8863818, -122.2741288 37.88613650000001, -122.2742729 37.88598159999999, -122.2744678 37.8858008, -122.2747506 37.88556929999998, -122.2747669 37.88555610000001, -122.2748349 37.88550039999998, -122.274725511274 37.8851939361722)"
23,52,14,tertiary,256.7961847262141,25.0,2,3800,22.977506298458298,53115327,53082209,"LINESTRING (-122.2670835 37.88051559999999, -122.2670905 37.8805788, -122.267237 37.88188840000001, -122.2672597 37.88209190000001, -122.2672631 37.8821223, -122.2672797 37.88227049999999, -122.2672863 37.88232929999999)"
24,107,188,tertiary,212.64244257442667,25.0,2,3800,19.02673541969752,53149317,53026099_m,"LINESTRING (-122.2610676 37.87946560000001, -122.2611601 37.8794534, -122.2629523688507 37.87922039665357)"
25,53,52,tertiary,255.72793789183234,25.0,2,3800,22.881922135510216,53115329,53115327,"LINESTRING (-122.2668745 37.87870989999999, -122.2668824 37.87878, -122.2669559 37.87941429999999, -122.2669963 37.87976190000001, -122.2670621 37.88033069999999, -122.2670655 37.88036079999998, -122.2670757 37.88044870000001, -122.2670835 37.88051559999999)"
26,94,93,tertiary,147.9888488884932,25.0,2,3800,13.241687025305042,53030498,53030491,"LINESTRING (-122.2664633 37.90103259999999, -122.2665613 37.90119899999998, -122.2666044 37.90131619999998, -122.2666552 37.90147620000001, -122.2666954 37.90157229999998, -122.266763 37.90165739999998, -122.2668396 37.9017171, -122.2668874 37.9017445, -122.2670305 37.90182629999999, -122.2671222 37.90190359999998)"
27,84,114,tertiary,321.7254589847556,25.0,2,3800,28.787221928854372,53147192,53147299,"LINESTRING (-122.2623676 37.88656960000002, -122.2623943 37.88646769999998, -122.2623969 37.88645809999999, -122.2624338 37.88631689999999, -122.2624434 37.8862821, -122.2624607 37.88621950000001, -122.2625064 37.8860518, -122.2625772 37.88579749999999, -122.2626341 37.88558099999999, -122.262652 37.8855118, -122.2627346 37.8852076, -122.2627554 37.88512770000001, -122.2627833 37.88502350000002, -122.2628051 37.88489059999999, -122.2628098 37.88475249999998, -122.262795 37.88461789999999, -122.2627501 37.8844473, -122.2627367 37.8844154, -122.2627286 37.88439600000002, -122.262717 37.88436849999999, -122.2627027 37.8843344)"
28,228,70,tertiary,117.95960711684177,25.0,2,3800,10.554742541757921,53047410_m,53033487,"LINESTRING (-122.26320706045 37.89564891281574, -122.2626622 37.89636610000002)"
29,177,60,tertiary,124.49941781691598,25.0,2,3800,11.139909107654882,53096090_m,53138903,"LINESTRING (-122.269111 37.87842139999998, -122.2689685 37.87843669999999, -122.2687598 37.87846009999999, -122.2685939 37.8784811, -122.2680942 37.87854539999999, -122.2680059 37.87855680000001)"
