link_id,start_node_id,end_node_id,type,length,maxmph,lanes,capacity,fft,start_osmid,end_osmid,geometry
0,0,165,tertiary,85.85600000000002,25.0,2,3800,7.682188825600003,100548657,53105549,"LINESTRING (-122.2612399 37.8876753,-122.261288 37.8876424,-122.2613312 37.8876175,-122.2613633 37.8876001,-122.261506 37.8875517,-122.2616119 37.8875274,-122.2617378 37.8875165,-122.2618563 37.8875285,-122.2620324 37.887575,-122.2621352 37.8876309)"
1,0,86,tertiary,313.898,25.0,2,3800,28.086839684800005,100548657,262257164,"LINESTRING (-122.2612399 37.8876753,-122.2611321 37.8877423,-122.2610548 37.887816,-122.2610171 37.8879296,-122.2610042 37.8880368,-122.2610124 37.8881297,-122.2610421 37.8882211,-122.2610678 37.8882653,-122.2610908 37.8883047,-122.2611633 37.8883832,-122.2612586 37.8884527,-122.2613652 37.8885087,-122.261478 37.8885528,-122.2616059 37.8885848,-122.2616446 37.8885905,-122.2617416 37.888609,-122.2618113 37.8886303,-122.2618976 37.8886706,-122.2619695 37.8887203,-122.2620336 37.8887784,-122.2620864 37.888844,-122.2621263 37.8889092,-122.2621893 37.8890014,-122.262276 37.8890959,-122.2623633 37.889175,-122.262414 37.8892229,-122.2624639 37.8892915,-122.2624876 37.8893735,-122.2624958 37.8894484,-122.2624873 37.889523,-122.2624585 37.8896059,-122.2624497 37.8896681,-122.262448 37.8897218,-122.2624562 37.8897855,-122.2625075 37.8898655)"
2,1,16,residential,43.642,20.0,1,1900,4.881226774000001,53082169,53082211,"LINESTRING (-122.2650754 37.8830159,-122.2650352 37.8826247)"
3,1,211,residential,158.2,20.0,1,1900,17.694195399999998,53082169,53056547,"LINESTRING (-122.2650754 37.8830159,-122.2652492 37.884432)"
4,1,316,residential,148.741,20.0,1,1900,16.636234627000004,53082169,53059204,"LINESTRING (-122.2650754 37.8830159,-122.2644622 37.8830678,-122.2642625 37.8831091,-122.264072 37.8831652,-122.2634929 37.8834285)"
5,2,4,residential,93.875,20.0,1,1900,10.499637125,53035083,53035085,"LINESTRING (-122.2617835 37.8900299,-122.2615424 37.8901004,-122.2613862 37.8901593,-122.2611614 37.8902645,-122.2611291 37.8902796,-122.2608516 37.8904355)"
6,2,107,residential,580.432,20.0,1,1900,64.91957790400001,53035083,53119542,"LINESTRING (-122.2617835 37.8900299,-122.2616998 37.8898656,-122.2616084 37.8897131,-122.2615183 37.8895986,-122.2614475 37.889543,-122.26134 37.8894858,-122.2611923 37.8894346,-122.2611205 37.8894018,-122.2609641 37.8892772,-122.2608853 37.8892262,-122.2606626 37.8891629,-122.2605143 37.8891062,-122.2604207 37.8890465,-122.26038 37.8889902,-122.2603576 37.8888279,-122.2603092 37.8886878,-122.2602434 37.8885257,-122.2601543 37.8883679,-122.260089 37.8882789,-122.2600032 37.8882293,-122.2598954 37.8882074,-122.2597554 37.888209,-122.2596253 37.8882411,-122.2595034 37.8882698,-122.2593175 37.8882789,-122.2591727 37.888272,-122.2586312 37.8882278,-122.2584845 37.8881877,-122.2583647 37.8881329,-122.2582029 37.8879948,-122.2581446 37.8878952,-122.2581237 37.8877964,-122.2581199 37.8876673,-122.2581694 37.8875511,-122.2583207 37.8872629,-122.2586225 37.8868189)"
7,2,302,residential,197.778,20.0,1,1900,22.120875966,53035083,53149300,"LINESTRING (-122.2617835 37.8900299,-122.2618378 37.8901322,-122.2619188 37.8903406,-122.2620011 37.8905616,-122.262068 37.8906614,-122.2621431 37.8907356,-122.2622793 37.8908212,-122.2624427 37.8908639,-122.2625881 37.8908647,-122.2627117 37.8908296,-122.2628213 37.8907796,-122.263245 37.8905255)"
8,3,383,residential,155.083,20.0,1,1900,17.345568301,258766924,99278653,"LINESTRING (-122.2716589 37.9028702,-122.2717034 37.9029105,-122.2717807 37.9030042,-122.2718077 37.9030967,-122.2718012 37.9031838,-122.2717163 37.9035011,-122.2716975 37.9036355,-122.2717148 37.9037498,-122.2717609 37.9038261,-122.2718406 37.9038965,-122.2721694 37.9040342)"
9,3,147,residential,138.11,20.0,1,1900,15.447189170000003,258766924,53068629,"LINESTRING (-122.2716589 37.9028702,-122.2716592 37.9028002,-122.2708501 37.9019922,-122.2707906 37.9019614,-122.2706819 37.9019538)"
